Text,Keyword,Source
受邀来长春参观，第一站是伪满皇宫，真的收获满满，学到了许多平时不知道的历史细节。图三的会客厅，就是当年溥仪和汪精卫见面的地方，两人在这握手言和。图四，这张日本人送给溥仪的北极熊皮，现场看着颇为震撼。 ​​​​#全国网络名人探寻和传播吉林近现代史# ​,长春伪满皇宫,新浪微博总盘
#长春人藏在岁月里的浪漫# 中国几代人的婚俗变迁东北张雨宸｜伪满皇宫博物院 M+创意街区5号馆 #漫游博物馆##微博旅行家# 在长春宽城区伪满皇宫博物院M+创意街区5号馆内，一场名为·天配良缘——近现代婚恋婚俗实物展·的展览正在展出~咱就是说该展览通过展示近现代不同时期的婚恋实物，生动地呈现 ​  展开c,长春伪满皇宫,新浪微博总盘
吉林长春，伪满皇宫。 ​,长春伪满皇宫,新浪微博总盘
一个人来逛长春伪满皇宫，以前溥仪居住和工作的地方。门票70，一对一讲解240，今天又是学到知识的一天 2长春·伪满皇宫博物院 ​,长春伪满皇宫,新浪微博总盘
前几天去长春伪满皇宫的时候，一进大门就注意到同德殿屋顶所用的唐招提寺式鸱尾，心中暗暗想到“伪满皇宫果然是倭伪代汉的先锋”，但这毕竟是那个特殊时期的产物，跟现在的倭伪代汉还是有着本质区别。然而进入殿内看“同德殿修缮纪实展”时，却震惊地发现介绍这件鸱尾时将其称之为“颇具唐风”，对于普 ​  展开c,长春伪满皇宫,新浪微博总盘
久别重逢长春。伪满皇宫里回望旧史，耳机循环坂本龙一，氛围感拉满。长影博物馆安静得只剩思绪，无数陌生姓名，皆在光影里刻下历史。晚间打卡十年老店烧烤，烟火治愈一切。明日铁锅炖大鹅，今日先健身，早睡迎接忙碌一天。#日常分享#长春超话#每日手记##日常分享# 2长春 ​,长春伪满皇宫,新浪微博总盘
#来吉林可以做的365件小事#走进长春伪满皇宫博物院，在红墙楼宇间漫步。庭院静谧雅致，建筑错落有序，在历史与现代交织的空间里，静静感受岁月沉淀，读懂一座城市的过往记忆。#把蓝莓当消炎药吃##吉林踏青季##吉林春趣春又来# ​,长春伪满皇宫,新浪微博总盘
#微博young派对##春日许愿池# 当春日的暖阳悄然洒向长春，伪满皇宫博物院便褪去了冬日的肃穆，在时光的流转中焕发出别样的生机。这座承载着厚重历史的建筑群，在春风的轻抚下，与满园春色交织成一幅动人的画卷。踏入宫门，高墙深院依旧保持着昔日的庄严，灰白色的建筑在蓝天的映衬下更显沉稳。然而 ​  展开c,长春伪满皇宫,新浪微博总盘
#长春发布# 【伪满皇宫博物院举办清明节主题系列纪念活动】4月3日，“清明·追思与传承”清明节主题纪念活动的主会场活动在伪满皇宫博物院暨东北沦陷史陈列馆举行。来自社会各界近千名代表齐聚一堂，以庄严的仪式缅怀抗战英烈、祭奠罹难同胞，在铭记苦难与抗争交织的历史中汲取奋进力量。#网络中国节# ​  展开c,长春伪满皇宫,新浪微博总盘
#即刻出发去长春# 智能讲解员在东北沦陷史陈列馆试岗的一天，表现很不错~~~ @伪满皇宫博物院 L伪满皇宫博物院的微博视频 ​,长春伪满皇宫,新浪微博总盘
三月，你好。冬日暂别，春天已然悄悄走近了，跟着我的脚步开启长春历史文化一日游，从烟火清晨到灯火夜晚，一天走遍百年风华。看历史、品文化、赏一城风情，这就是长春，一座有故事、有温度、有底蕴的北国春城。 2长春 L·墨小盒的微博视频 ​,长春伪满皇宫,新浪微博总盘
#清明吉林博物馆热18.7万人次打卡# 长春市宽城区光复北路的伪满皇宫博物院，浓厚的红色文旅氛围扑面而来。作为全国爱国主义教育示范基地，院内的东北沦陷史陈列馆成为游客驻足缅怀的核心区域，人气格外高涨。馆内庄严肃穆，各地游客与长春本地市民络绎不绝，大家放慢脚步，认真聆听讲解员讲述历史过往 ​  展开c,长春伪满皇宫,新浪微博总盘
趁着ip还没变来更新一下这几天的原图直出游客照！去了长春的农博会，请欣赏超级舒服的生菜和让人想坐上去的仙人掌🌵（？）然后是长影和伪满皇宫！暴走了一天走成扁平足了😭人超多！！刚发现伪满皇宫忘记拍大门口了（......） ​,长春伪满皇宫,新浪微博总盘
#长春文旅爱分享# 【伪满皇宫博物院关于征集溥仪及其时代藏品的公告】（伪满皇宫博物院）编辑：王华琳初审：柳絮复审：师锁伟 终审：曹昊 ​,长春伪满皇宫,新浪微博总盘
