ID,GVI,SVF,Enclosure,Clutter
1,6.42,42.71,49.87,2.09
1001,10.32,28.06,66.24,1.11
1006,10.75,37.17,59.99,0.77
1011,0.01,29.05,65.54,3.39
1013,0.07,23.02,73.19,2.19
1015,0.5,39.7,50.73,7.82
1017,0.95,44.62,46.41,4.87
1018,0.06,19.09,72.88,6.77
102,6.96,34.26,57.08,1.73
1020,0.81,36.77,59.14,1.25
1025,6.15,15.04,83.68,0.34
1029,0.34,15.69,81.7,1.73
1036,11.33,26.68,68.75,2.51
1041,3.87,39.65,55.22,2.76
1046,0.41,23.38,71.81,3.52
1060,0.01,21.99,74.24,1.78
1065,0.49,17.57,80.16,0.65
1069,12.88,15.72,79.69,3.87
1071,10.91,11.46,82.42,4.86
1076,9.77,43.14,51.66,1.73
1081,7.44,19.65,73.85,4.01
1086,0.01,24.99,72.74,1.19
1088,4.25,15.76,80.55,2.53
109,0.0,18.66,79.09,1.4
1090,1.25,39.6,49.3,3.78
1092,0.45,31.88,58.37,5.47
1093,0.31,65.42,25.49,6.57
1095,0.42,40.67,54.45,2.83
1100,0.44,25.78,69.47,1.51
1105,0.01,24.6,72.98,0.46
1111,8.27,45.78,47.68,2.46
1116,15.18,62.72,31.36,3.31
1121,3.06,58.64,35.2,5.73
1135,0.04,23.23,74.84,0.55
114,0.63,44.19,49.9,2.77
1140,0.01,17.69,79.64,0.88
1145,1.8,23.11,72.15,2.37
1147,3.88,33.31,61.66,2.29
1151,9.61,40.4,55.91,1.43
1156,13.84,67.13,28.04,2.52
1161,8.37,49.19,42.65,4.53
1163,23.26,12.53,79.62,3.5
1165,3.78,26.29,71.56,1.45
1167,1.01,45.33,42.98,8.27
1168,0.0,65.75,22.93,9.63
1170,8.85,31.81,65.37,1.02
1175,0.15,27.24,65.51,2.31
118,26.49,16.28,73.0,0.4
1180,0.06,6.82,91.28,0.86
1187,7.51,43.8,51.05,2.59
1191,17.45,41.11,50.09,6.13
