time,hour,altitude,azimuth,is_daylight
06:00,6.0,17.75,74.24,True
06:30,6.5,23.01,78.98,True
07:00,7.0,28.35,83.8,True
07:30,7.5,33.74,88.79,True
08:00,8.0,39.14,94.09,True
08:30,8.5,44.51,99.88,True
09:00,9.0,49.77,106.41,True
09:30,9.5,54.84,114.04,True
10:00,10.0,59.59,123.27,True
10:30,10.5,63.79,134.79,True
11:00,11.0,67.13,149.35,True
11:30,11.5,69.14,167.09,True
12:00,12.0,69.44,186.61,True
12:30,12.5,67.95,205.18,True
13:00,13.0,65.0,220.82,True
13:30,13.5,61.03,233.26,True
14:00,14.0,56.43,243.16,True
14:30,14.5,51.45,251.24,True
15:00,15.0,46.24,258.08,True
15:30,15.5,40.9,264.08,True
16:00,16.0,35.51,269.52,True
16:30,16.5,30.11,274.6,True
17:00,17.0,24.75,279.46,True
17:30,17.5,19.46,284.21,True
18:00,18.0,14.28,288.95,True
18:30,18.5,9.24,293.74,True
