ID,GVI,SVF,Enclosure,Clutter,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
1,6.42,42.71,49.87,2.09,1.01,0.25,43.45,0.0,0.72,0.92,0.17,0.27,6.42,0.0,42.71,0.56,0.01,2.54,0.14,0.0,0.0,0.52,0.3
1001,10.31,28.06,66.24,1.11,0.31,0.01,55.37,0.55,0.18,0.65,0.0,0.27,10.31,0.0,28.06,0.08,0.0,1.63,2.47,0.0,0.0,0.0,0.1
1006,10.75,37.17,59.99,0.77,0.45,0.02,48.93,0.31,0.51,0.03,0.0,0.23,10.75,0.01,37.17,0.14,0.0,1.34,0.04,0.0,0.0,0.0,0.07
1011,0.01,29.05,65.54,3.39,0.3,0.01,61.25,4.28,3.19,0.13,0.01,0.06,0.01,0.0,29.05,0.22,0.0,0.61,0.18,0.34,0.37,0.0,0.0
1013,0.07,23.02,73.19,2.19,0.33,0.21,72.93,0.19,2.0,0.17,0.0,0.02,0.07,0.0,23.02,0.05,0.0,0.61,0.4,0.0,0.0,0.0,0.0
1015,0.5,39.7,50.73,7.82,0.27,0.0,49.54,0.69,6.26,1.16,0.0,0.39,0.5,0.0,39.7,0.32,0.0,0.71,0.23,0.0,0.08,0.0,0.13
1017,0.95,44.62,46.42,4.87,1.66,0.83,45.2,0.26,3.87,0.44,0.01,0.56,0.95,0.01,44.62,0.08,0.0,0.68,0.7,0.06,0.05,0.0,0.02
1018,0.06,19.09,72.87,6.77,0.28,0.14,71.76,1.05,5.53,0.79,0.09,0.36,0.06,0.0,19.09,0.0,0.01,0.56,0.0,0.26,0.0,0.0,0.02
102,6.96,34.26,57.08,1.73,3.33,0.16,49.9,0.22,1.06,0.41,0.0,0.26,6.96,0.0,34.26,0.26,0.0,1.39,0.07,1.33,0.38,0.0,0.01
1020,0.81,36.77,59.14,1.25,0.49,0.12,57.85,0.48,0.45,0.45,0.04,0.31,0.81,0.0,36.77,0.2,0.0,0.62,0.0,0.29,1.0,0.0,0.12
1025,6.15,15.04,83.68,0.34,0.1,0.05,77.53,0.0,0.04,0.12,0.0,0.18,6.15,0.0,15.04,0.28,0.0,0.33,0.0,0.0,0.0,0.03,0.15
1029,0.34,15.69,81.7,1.73,0.0,0.07,81.36,0.0,1.4,0.19,0.0,0.14,0.34,0.0,15.69,0.26,0.0,0.4,0.0,0.0,0.0,0.02,0.14
1036,11.33,26.68,68.75,2.51,0.03,0.03,56.38,1.04,2.25,0.13,0.0,0.13,11.33,0.0,26.68,0.08,0.0,1.31,0.6,0.0,0.0,0.0,0.02
1041,3.87,39.65,55.22,2.76,0.54,0.18,48.9,2.45,2.11,0.32,0.02,0.31,3.87,0.01,39.65,0.07,0.05,0.39,0.01,0.68,0.0,0.27,0.15
1046,0.41,23.38,71.81,3.52,0.26,0.23,70.17,1.23,2.98,0.32,0.0,0.22,0.41,0.0,23.38,0.11,0.0,0.64,0.02,0.0,0.0,0.01,0.01
1060,0.01,21.99,74.24,1.78,0.16,0.14,74.22,0.01,0.93,0.7,0.0,0.15,0.01,0.0,21.99,0.28,0.0,1.26,0.13,0.0,0.0,0.0,0.02
1065,0.49,17.57,80.16,0.65,0.02,0.14,79.68,0.0,0.1,0.37,0.0,0.19,0.49,0.0,17.57,1.02,0.09,0.2,0.0,0.0,0.1,0.0,0.05
1069,12.88,15.72,79.69,3.87,0.0,0.04,66.59,0.22,3.5,0.32,0.0,0.05,12.88,0.0,15.72,0.4,0.0,0.24,0.0,0.0,0.0,0.0,0.05
1071,10.91,11.46,82.42,4.86,0.02,0.25,70.96,0.55,3.93,0.81,0.0,0.12,10.91,0.0,11.46,0.24,0.0,0.57,0.0,0.0,0.0,0.05,0.14
1076,9.77,43.14,51.65,1.73,0.22,0.0,41.79,0.1,0.95,0.42,0.0,0.35,9.77,0.0,43.14,0.03,0.0,3.17,0.04,0.0,0.0,0.01,0.0
1081,7.45,19.66,73.85,4.01,0.39,0.25,65.34,1.07,3.32,0.28,0.0,0.41,7.45,0.02,19.66,0.02,0.0,1.76,0.0,0.0,0.0,0.0,0.03
1086,0.01,24.99,72.74,1.19,0.01,0.02,72.53,0.19,0.56,0.47,0.0,0.16,0.01,0.0,24.99,0.0,0.0,0.05,0.0,0.0,0.99,0.0,0.0
1088,4.25,15.76,80.55,2.53,0.2,0.34,74.07,2.24,1.67,0.63,0.0,0.23,4.25,0.0,15.76,0.01,0.0,0.41,0.0,0.08,0.0,0.0,0.12
109,0.0,18.66,79.09,1.4,0.24,0.03,79.09,0.01,1.22,0.01,0.0,0.17,0.0,0.0,18.66,0.24,0.0,0.09,0.0,0.0,0.07,0.03,0.16
1090,1.25,39.61,49.29,3.78,0.78,0.27,44.09,3.95,2.58,0.69,0.01,0.51,1.25,0.03,39.61,0.09,0.0,3.52,0.16,2.3,0.01,0.0,0.17
1092,0.45,31.88,58.37,5.47,0.61,0.0,50.88,7.04,4.66,0.4,0.0,0.41,0.45,0.0,31.88,0.02,0.0,0.32,1.03,1.5,0.8,0.0,0.0
1093,0.31,65.42,25.49,6.57,0.46,0.41,21.56,3.62,5.53,0.68,0.0,0.36,0.31,0.0,65.42,0.02,0.0,0.53,0.02,0.01,1.06,0.0,0.01
1095,0.42,40.67,54.45,2.83,0.68,0.17,53.7,0.33,1.69,0.65,0.03,0.46,0.42,0.0,40.67,0.18,0.08,0.67,0.14,0.0,0.0,0.04,0.08
1100,0.44,25.78,69.47,1.51,0.01,0.01,69.03,0.0,0.48,0.8,0.0,0.23,0.44,0.0,25.78,0.84,0.0,2.11,0.08,0.0,0.0,0.06,0.12
1105,0.01,24.6,72.98,0.46,0.07,0.0,72.97,0.0,0.17,0.05,0.0,0.24,0.01,0.0,24.6,0.04,0.0,1.84,0.0,0.0,0.0,0.0,0.0
1111,8.27,45.78,47.68,2.46,0.58,0.0,38.29,1.11,1.2,0.85,0.0,0.4,8.27,0.0,45.78,0.15,0.0,2.63,0.3,0.0,0.0,0.36,0.06
1116,15.19,62.72,31.36,3.31,0.98,1.36,15.18,1.0,1.01,1.81,0.01,0.48,15.19,0.02,62.72,0.07,0.0,0.12,0.0,0.04,0.01,0.0,0.0
1121,3.06,58.64,35.2,5.73,0.02,0.0,31.17,0.97,3.86,0.86,0.0,1.0,3.06,0.0,58.64,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.0
1135,0.04,23.23,74.84,0.55,0.09,0.0,74.39,0.41,0.33,0.09,0.01,0.12,0.04,0.0,23.23,0.1,0.0,0.77,0.0,0.0,0.01,0.29,0.14
114,0.63,44.19,49.9,2.77,1.19,0.18,48.92,0.35,2.16,0.26,0.03,0.32,0.63,0.02,44.19,0.06,0.0,1.44,0.02,0.0,0.0,0.0,0.23
1140,0.01,17.68,79.64,0.88,0.15,0.01,79.63,0.0,0.59,0.25,0.0,0.05,0.01,0.0,17.68,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0
1145,1.8,23.11,72.16,2.37,0.3,0.03,70.35,0.0,1.91,0.38,0.0,0.08,1.8,0.0,23.11,0.15,0.0,0.74,0.31,0.5,0.32,0.01,0.01
1147,3.88,33.31,61.66,2.3,1.06,0.0,57.56,0.21,1.27,0.76,0.0,0.27,3.88,0.4,33.31,0.04,0.0,1.09,0.0,0.0,0.05,0.0,0.09
1151,9.61,40.4,55.91,1.43,0.06,0.01,46.24,0.06,0.65,0.53,0.02,0.22,9.61,0.0,40.4,0.25,0.06,1.07,0.26,0.0,0.0,0.0,0.54
1156,13.84,67.13,28.04,2.52,0.73,0.81,11.53,2.67,1.17,0.9,0.01,0.44,13.84,0.57,67.13,0.09,0.02,0.03,0.0,0.0,0.0,0.0,0.07
1161,8.37,49.19,42.65,4.53,1.18,0.03,33.23,1.04,3.67,0.51,0.02,0.33,8.37,0.07,49.19,0.12,0.06,0.98,0.0,1.0,0.14,0.04,0.01
1163,23.26,12.53,79.62,3.5,1.07,0.15,56.16,0.19,3.06,0.21,0.0,0.23,23.26,0.0,12.53,0.02,0.0,2.29,0.01,0.68,0.11,0.0,0.02
1165,3.78,26.29,71.56,1.45,0.06,0.06,65.72,2.05,0.95,0.26,0.0,0.23,3.78,0.0,26.29,0.08,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1167,1.01,45.32,42.98,8.27,0.6,0.01,39.0,2.98,7.53,0.55,0.0,0.19,1.01,0.0,45.32,0.25,0.0,0.69,0.91,0.8,0.15,0.0,0.0
1168,0.0,65.75,22.93,9.63,1.09,0.34,22.03,0.89,8.63,0.62,0.02,0.36,0.0,0.0,65.75,0.03,0.0,0.23,0.01,0.0,0.0,0.0,0.0
1170,8.85,31.81,65.37,1.02,0.4,0.25,49.12,7.4,0.72,0.18,0.0,0.12,8.85,0.0,31.81,0.19,0.01,0.84,0.0,0.0,0.0,0.0,0.09
1175,0.15,27.24,65.51,2.31,0.15,0.08,65.06,0.3,1.36,0.84,0.02,0.09,0.15,0.0,27.24,0.02,0.0,0.85,0.07,1.89,1.84,0.01,0.02
118,26.49,16.28,73.0,0.4,4.98,1.72,45.42,1.09,0.15,0.05,0.0,0.2,26.49,0.0,16.28,0.14,0.0,1.14,0.0,0.0,2.27,0.01,0.04
1180,0.06,6.82,91.28,0.86,0.0,0.0,90.63,0.59,0.43,0.34,0.0,0.09,0.06,0.0,6.82,0.56,0.0,0.15,0.05,0.0,0.09,0.03,0.17
1187,7.51,43.8,51.05,2.59,0.15,0.02,43.38,0.16,1.59,0.62,0.0,0.38,7.51,0.32,43.8,0.2,0.03,1.19,0.41,0.0,0.0,0.2,0.04
1191,17.45,41.11,50.08,6.13,0.7,0.92,29.41,3.22,4.45,1.31,0.01,0.36,17.45,0.76,41.11,0.13,0.0,0.12,0.0,0.0,0.01,0.0,0.03
1196,9.32,54.78,38.45,1.86,3.43,0.09,27.28,1.86,1.28,0.28,0.02,0.28,9.32,0.34,54.78,0.0,0.0,0.79,0.24,0.0,0.0,0.0,0.0
1210,3.49,30.72,64.07,1.91,0.34,0.03,55.5,5.08,1.39,0.3,0.0,0.22,3.49,0.0,30.72,0.12,0.01,1.62,0.06,0.04,0.46,0.47,0.14
1215,0.29,19.89,74.52,2.07,0.8,0.01,73.55,0.67,0.99,0.26,0.02,0.81,0.29,0.0,19.89,0.04,0.0,1.83,0.6,0.01,0.08,0.13,0.03
1220,0.0,29.25,65.03,2.47,0.43,0.06,58.03,7.0,0.7,1.38,0.02,0.37,0.0,0.0,29.25,0.22,0.0,0.38,0.07,1.38,0.7,0.0,0.01
1222,20.42,24.75,59.57,15.14,0.03,0.31,34.3,4.85,14.53,0.46,0.0,0.16,20.42,0.0,24.75,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.04
1227,7.18,44.72,48.97,2.99,0.44,0.1,40.17,1.62,1.85,0.41,0.0,0.73,7.18,0.0,44.72,0.01,0.0,1.77,0.21,0.0,0.0,0.76,0.02
123,20.67,31.98,64.0,2.88,0.25,0.09,41.59,1.75,2.59,0.15,0.0,0.13,20.67,0.04,31.98,0.08,0.0,0.43,0.0,0.0,0.01,0.07,0.17
1231,24.38,49.57,42.65,3.74,1.22,1.73,16.01,2.26,2.67,0.68,0.01,0.37,24.38,0.0,49.57,0.13,0.0,0.87,0.0,0.0,0.0,0.0,0.1
1236,8.31,49.89,43.26,4.11,0.88,0.01,34.58,0.37,3.37,0.48,0.02,0.24,8.31,0.0,49.89,0.31,0.13,1.25,0.0,0.1,0.0,0.0,0.07
1238,7.0,39.26,55.09,4.25,0.92,0.04,47.12,0.97,3.6,0.32,0.02,0.31,7.0,0.01,39.26,0.03,0.0,0.34,0.0,0.0,0.04,0.0,0.01
1240,19.47,48.09,45.39,4.9,0.51,0.11,22.91,3.01,3.89,0.62,0.04,0.36,19.47,0.02,48.09,0.03,0.0,0.78,0.0,0.0,0.15,0.0,0.02
1242,2.29,60.04,32.3,4.71,1.03,0.35,28.07,1.94,2.52,1.33,0.07,0.79,2.29,0.0,60.04,0.23,0.0,0.16,0.84,0.01,0.3,0.0,0.01
1243,1.43,18.44,72.61,4.39,1.5,1.11,70.57,0.62,4.02,0.22,0.0,0.15,1.43,0.0,18.44,0.08,0.0,1.65,0.01,0.0,0.0,0.05,0.16
1245,5.77,32.82,64.88,1.14,0.24,0.02,47.9,11.21,0.6,0.4,0.0,0.14,5.77,0.0,32.82,0.02,0.0,0.53,0.0,0.0,0.0,0.0,0.34
1249,0.3,35.66,59.12,1.32,0.15,0.01,53.42,5.4,0.74,0.17,0.04,0.37,0.3,0.0,35.66,1.37,0.0,1.18,0.0,0.43,0.71,0.0,0.05
1254,0.04,15.84,82.83,0.53,0.13,0.0,80.85,1.94,0.07,0.32,0.0,0.14,0.04,0.0,15.84,0.08,0.0,0.59,0.0,0.0,0.0,0.0,0.0
