FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,level,Type,integration,choice,integration_norm,choice_norm
19623,41130037,5114,secondary,民康路, ,F,0,0,F,F,2,二级道路,30.079736808654296,0.02878926675159275,0.8283714789855482,0.8047612268431672
19674,41258502,5113,primary,解放大路, ,F,0,0,F,F,1,一级道路,25.313248122775164,0.026009573159520474,0.5288042547408257,0.7256236216686868
20077,41916512,5113,primary,人民大街, ,F,70,0,F,F,1,一级道路,31.266058917091716,0.03349421179888209,0.9029301834124732,0.9387105529782218
20189,42195302,5115,tertiary,锦水路, ,B,0,0,F,F,2,二级道路,27.642621987589923,0.01659027048461698,0.6752021817888904,0.457456994155715
40541,59383879,5115,tertiary,同志街, ,F,0,0,F,F,2,二级道路,22.71527633345531,0.007931042238426556,0.36552531947380534,0.2109296114193129
40579,59462292,5115,tertiary,树勋街 Shuxun Jie, ,F,0,0,F,F,2,二级道路,27.148779121743647,0.01316106626477827,0.644164840407403,0.359827884822861
40580,59462297,5114,secondary,民康路, ,F,0,0,F,F,2,二级道路,30.311467983697394,0.04266449944551119,0.842935462969038,1.0
40581,59462298,5115,tertiary,西三道街, ,B,0,0,F,F,2,二级道路,31.041679361744354,0.01711591929726155,0.8888282385632583,0.47242216453065855
40583,59462300,5115,tertiary,西四道街, ,B,0,0,F,F,2,二级道路,31.86004882410423,0.023760629832538252,0.9402616278781386,0.661596424722199
40584,59462639,5114,secondary,长春大街, ,F,0,0,F,F,2,二级道路,32.51373690885434,0.05402020789877894,0.9813450202819795,1.0
40585,59462640,5114,secondary,长春大街, ,F,0,0,F,F,2,二级道路,32.54033334171495,0.035878029675310265,0.9830165693177438,1.0
40586,59462642,5114,secondary,惠工路, ,B,0,1,T,F,2,二级道路,26.295415770118666,0.017913739252751453,0.5905321335312052,0.49513602076932844
40592,59464823,5114,secondary,胜利大街, ,F,0,0,F,F,2,二级道路,31.947662314359206,0.04372888339513802,0.9457680146151576,1.0
40593,59464824,5113,primary,站前广场, ,B,0,0,F,F,1,一级道路,27.52894057532481,0.008935162380611603,0.6680574621923938,0.2395168138313395
40594,59464825,5114,secondary,胜利大街, ,F,0,0,F,F,2,二级道路,30.612300052023176,0.010889399022897166,0.8618423425634729,0.29515374023782237
40595,59464826,5114,secondary,胜利大街, ,F,0,0,F,F,2,二级道路,29.04516332721682,0.01601481105421155,0.7633499659733419,0.4410737203563156
40596,59464827,5114,secondary,南广场, ,F,0,0,F,F,2,二级道路,31.39665284435239,0.04874560009417858,0.9111378311949165,1.0
40597,59464830,5114,secondary,新发路, ,F,0,0,F,F,2,二级道路,30.883616006426244,0.028020234407267752,0.8788941752038443,0.7828669510837207
40598,59464832,5114,secondary,胜利大街, ,F,0,0,F,F,2,二级道路,32.05541780768032,0.0312540046921117,0.9525402983985971,0.8749320753682155
40599,59464833,5114,secondary,上海路, ,F,0,0,F,F,2,二级道路,32.70821468573312,0.037522279318646275,0.9935676796936035,1.0
40600,59464834,5114,secondary,西广场, ,B,0,0,F,F,2,二级道路,26.139280144321457,0.001858354478081632,0.5807192253070969,0.03804078378137055
