"FullName","Length","LastWriteTime"
"C:\Users\23902\ultimateDESIGN\.env","46","2026/4/18 21:47:45"
"C:\Users\23902\ultimateDESIGN\.env.example","46","2026/4/18 21:47:45"
"C:\Users\23902\ultimateDESIGN\.gitignore","222","2026/4/20 11:58:10"
"C:\Users\23902\ultimateDESIGN\app.py","29544","2026/4/20 21:02:41"
"C:\Users\23902\ultimateDESIGN\check_env.py","3327","2026/4/18 21:47:48"
"C:\Users\23902\ultimateDESIGN\clip_buildings.py","1461","2026/4/20 17:50:55"
"C:\Users\23902\ultimateDESIGN\config.yaml","837","2026/4/20 18:32:57"
"C:\Users\23902\ultimateDESIGN\core_engine.py","20542","2026/4/20 19:53:14"
"C:\Users\23902\ultimateDESIGN\cv_semantic_engine.py","6573","2026/4/15 17:19:20"
"C:\Users\23902\ultimateDESIGN\get_poi.py","2131","2026/4/18 21:47:49"
"C:\Users\23902\ultimateDESIGN\get_streetview.py","4493","2026/4/18 21:47:49"
"C:\Users\23902\ultimateDESIGN\get_traffic_poi.py","2161","2026/4/18 21:47:49"
"C:\Users\23902\ultimateDESIGN\GITHUB_UPLOAD_GUIDE.md","3920","2026/4/18 21:47:49"
"C:\Users\23902\ultimateDESIGN\INSTALL_GUIDE.md","11522","2026/4/18 21:47:49"
"C:\Users\23902\ultimateDESIGN\project_inventory.csv","0","2026/4/20 21:04:18"
"C:\Users\23902\ultimateDESIGN\QUICK_START.md","2081","2026/4/18 21:47:50"
"C:\Users\23902\ultimateDESIGN\README.md","6221","2026/4/18 21:47:50"
"C:\Users\23902\ultimateDESIGN\requirements.txt","242","2026/4/18 21:47:50"
"C:\Users\23902\ultimateDESIGN\run.bat","4880","2026/4/20 20:34:16"
"C:\Users\23902\ultimateDESIGN\run_deeplabv3.py","2915","2026/4/18 11:27:59"
"C:\Users\23902\ultimateDESIGN\run_portable.bat","428","2026/4/18 21:47:50"
"C:\Users\23902\ultimateDESIGN\setup_env.bat","3809","2026/4/18 21:47:50"
"C:\Users\23902\ultimateDESIGN\spider_engine.py","24395","2026/4/15 17:19:20"
"C:\Users\23902\ultimateDESIGN\ui_components.py","13992","2026/4/20 16:29:32"
"C:\Users\23902\ultimateDESIGN\.idea\.gitignore","238","2026/3/19 10:05:48"
"C:\Users\23902\ultimateDESIGN\.idea\.name","23","2026/3/22 21:18:14"
